phi,ratio,theta,sigma_s,k_star,seed,horizon,predicted_t_sat,stopped_at,copies_per_genome,silenced_fraction,outcome,extinct,saturated,entries_per_genome,max_genomes_with_repertoire,saw_nonzero_entry,hash,stopped_at_600,copies_per_genome_600,silenced_fraction_600,outcome_600,extinct_600,saturated_600,entries_per_genome_600,max_genomes_with_repertoire_600,saw_nonzero_entry_600,hash_600,stopped_at_1800,copies_per_genome_1800,silenced_fraction_1800,outcome_1800,extinct_1800,saturated_1800,entries_per_genome_1800,max_genomes_with_repertoire_1800,saw_nonzero_entry_1800,hash_1800,saturation_generation,extinction_generation,captures,mean_displacement,mean_abs_s,max_abs_entry
0.004,2.00,0.1,0.05,4,4001,5000,1987.541691325628,2394,1589.6433333333334,0.31957483125145475,RUNAWAY,0,1,1097.28,300,1,e56dcf73,600,402.1533333333333,0.9089816487906769,CONTROLLED,0,0,253.89,300,1,e28130dd,1800,626.5866666666667,0.6223134868281057,CONTROLLED,0,0,844.69,300,1,fc877445,2394,NA,245923,0.13985429718307743,34.96357429576897,79.4883437996444
0.004,2.00,0.1,0.05,4,4002,5000,1987.541691325628,2418,1557.9233333333334,0.42240418334663454,RUNAWAY,0,1,1122.16,300,1,5b5405e5,600,429.08,0.9050915136260527,CONTROLLED,0,0,250.13,300,1,0b0c2035,1800,577.88,0.5255185621005515,CONTROLLED,0,0,852.1666666666666,300,1,12b3a24c,2418,NA,253252,0.14409497276983677,36.0237431924583,79.69235131732063
0.004,2.00,0.1,0.05,4,4003,5000,1987.541691325628,2389,1622.3233333333333,0.39549863672880664,RUNAWAY,0,1,1102.4533333333334,300,1,7a7b318f,600,432.9166666666667,0.9150336862367662,CONTROLLED,0,0,259.8466666666667,300,1,fab013c8,1800,592.5833333333334,0.5994318661229082,CONTROLLED,0,0,853.3733333333333,300,1,1b66d753,2389,NA,244316,0.13820791835267,34.551979588167775,78.58775244393044
0.004,2.00,0.1,0.05,4,4004,5000,1987.541691325628,2552,1504.2533333333333,0.34352369724957676,RUNAWAY,0,1,1141.0833333333333,300,1,105729a5,600,416.2133333333333,0.9071149410558688,CONTROLLED,0,0,242.41,300,1,036d3a95,1800,574.9433333333334,0.621597490767206,CONTROLLED,0,0,828.3066666666666,300,1,f79d2bf7,2552,NA,251727,0.14428657767070713,36.07164441767465,81.71254541100188
0.004,2.00,0.1,0.05,4,4005,5000,1987.541691325628,2381,1513.7433333333333,0.43866309347907945,RUNAWAY,0,1,1091.16,300,1,e715d430,600,414.78,0.9009756175964768,CONTROLLED,0,0,248.53,300,1,6d4867c6,1800,518.03,0.5303296462881815,CONTROLLED,0,0,841.4033333333333,300,1,eba06d2f,2381,NA,243310,0.13924493398918747,34.811233497295184,78.64630713304595
0.004,2.00,0.1,0.05,4,4006,5000,1987.541691325628,2340,1544.0433333333333,0.3906582932689713,RUNAWAY,0,1,1091.4066666666668,300,1,5404991d,600,427.1433333333333,0.897075922992282,CONTROLLED,0,0,263.13666666666666,300,1,7a187ec5,1800,512.17,0.7226897319249468,CONTROLLED,0,0,859,300,1,a78e304b,2340,NA,245427,0.13894940778023088,34.73735194505751,77.96960681435021
0.004,2.00,0.1,0.05,4,4007,5000,1987.541691325628,2432,1571.97,0.3451041262449877,RUNAWAY,0,1,1098.0433333333333,300,1,a66b5072,600,394.37333333333333,0.9017005882750693,CONTROLLED,0,0,241.43333333333334,300,1,f3dc1a4d,1800,605.81,0.6986678991763094,CONTROLLED,0,0,823.2933333333333,300,1,958d2ba0,2432,NA,245137,0.13994870536664994,34.98717634166348,79.02144988541
0.004,2.00,0.1,0.05,4,4008,5000,1987.541691325628,2510,1663.1133333333332,0.19302553043087864,RUNAWAY,0,1,1150.02,300,1,47b832df,600,394.8833333333333,0.914008356898662,CONTROLLED,0,0,248.84666666666666,300,1,71da0366,1800,606.0066666666667,0.5895754722170273,CONTROLLED,0,0,832.53,300,1,2c734eb9,2510,NA,254458,0.14565948077240484,36.41487019310088,83.53356961965558
0.004,2.00,0.1,0.05,4,4009,5000,1987.541691325628,2327,1555.5466666666666,0.34562983217046955,RUNAWAY,0,1,1080.2466666666667,300,1,0ac591f7,600,415.0466666666667,0.893168639671041,CONTROLLED,0,0,262.5466666666667,300,1,8d5d7080,1800,766.5466666666666,0.48037084065331964,CONTROLLED,0,0,858.7666666666667,300,1,40f7d641,2327,NA,241724,0.13785178126364334,34.46294531591121,77.54112851718914
0.004,2.00,0.1,0.05,4,4010,5000,1987.541691325628,2401,1598.9166666666667,0.571341012143639,RUNAWAY,0,1,1102.6833333333334,300,1,d16a9c4b,600,408.73,0.9165463753578157,CONTROLLED,0,0,251.21666666666667,300,1,ba908800,1800,657.4066666666666,0.6424891746356898,CONTROLLED,0,0,840.6033333333334,300,1,64c5139a,2401,NA,244179,0.1395686030742269,34.89215076855567,80.39902794441473
